# time_s, blanket_inventory_kg, TES_inventory_kg, ISS_inventory_kg,storage_inventory_kg,FW_inventory_kg,div_inventory_kg 
3.582320951361440122e+07,3.395041654683139849e-03,6.375075663890650279e-02,2.678173692503250103e-01,2.140927046049479809e+00,1.597296298865559947e-05,1.560782204668610136e-05
3.583808694708359987e+07,3.157910027795129797e-03,6.374202604022269347e-02,2.679638160880080111e-01,2.151640710307019866e+00,1.505580409468850030e-05,1.469065770665449930e-05
3.585308849565929919e+07,3.345680400655859799e-03,6.373312397911559679e-02,2.677001102355809903e-01,2.143374106996339901e+00,1.601908649088469922e-05,1.565393881781479979e-05
3.586820951361440122e+07,3.395041654681919905e-03,6.375075663890669708e-02,2.678173692503130199e-01,2.142311693502700010e+00,1.597296298865490152e-05,1.560782204668550167e-05
3.588308694708359987e+07,3.157910027797459964e-03,6.374202604022190244e-02,2.679638160879950215e-01,2.153025322122569918e+00,1.505580409469140054e-05,1.469065770665749949e-05
3.589808849565929919e+07,3.345680400656019828e-03,6.373312397911680416e-02,2.677001102356140194e-01,2.144758682877999867e+00,1.601908649088480086e-05,1.565393881781490144e-05
3.591320951361440122e+07,3.395041654679630070e-03,6.375075663890579503e-02,2.678173692502769931e-01,2.143696233165380161e+00,1.597296298865090013e-05,1.560782204668150028e-05
3.592808694708359987e+07,3.157910027797359784e-03,6.374202604022130569e-02,2.679638160879980191e-01,2.154409826150370133e+00,1.505580409469069919e-05,1.469065770665669989e-05
3.594308849565929919e+07,3.345680400656110033e-03,6.373312397911799765e-02,2.677001102356399986e-01,2.146143150974639813e+00,1.601908649088520066e-05,1.565393881781530124e-05
3.595820951361440122e+07,3.395041654679839972e-03,6.375075663890479583e-02,2.678173692502390235e-01,2.145080665045739909e+00,1.597296298865129993e-05,1.560782204668190008e-05
3.597308694708359987e+07,3.157910027798400184e-03,6.374202604022169427e-02,2.679638160880259967e-01,2.155794222398649929e+00,1.505580409469110069e-05,1.469065770665719964e-05
3.598808849565929919e+07,3.345680400656110033e-03,6.373312397911909399e-02,2.677001102356589834e-01,2.147527511294640146e+00,1.601908649088549882e-05,1.565393881781559939e-05
3.600320951361440122e+07,3.395041654678630002e-03,6.375075663890289457e-02,2.678173692501900072e-01,2.146464989152339964e+00,1.597296298865019879e-05,1.560782204668079894e-05
3.601808694708359987e+07,3.157910027798869861e-03,6.374202604022259633e-02,2.679638160880640219e-01,2.157178510875890076e+00,1.505580409469120064e-05,1.469065770665719964e-05
3.603308849565929919e+07,3.345680400654690162e-03,6.373312397911959359e-02,2.677001102356549866e-01,2.148911763846459877e+00,1.601908649088409952e-05,1.565393881781420009e-05
3.604820951361440122e+07,3.395041654681190020e-03,6.375075663890179822e-02,2.678173692501660264e-01,2.147849205493349789e+00,1.597296298865479987e-05,1.560782204668540002e-05
3.606308694708359987e+07,3.157910027799100145e-03,6.374202604022380370e-02,2.679638160880979947e-01,2.158562691590479865e+00,1.505580409469140054e-05,1.469065770665739954e-05
3.607808849565929919e+07,3.345680400654190128e-03,6.373312397911920502e-02,2.677001102356260098e-01,2.150295908638399922e+00,1.601908649088460096e-05,1.565393881781470154e-05
3.609320951361440122e+07,3.395041654681109789e-03,6.375075663890120148e-02,2.678173692501690240e-01,2.149233314077379831e+00,1.597296298865400027e-05,1.560782204668460042e-05
3.610808694708359987e+07,3.157910027799140044e-03,6.374202604022499719e-02,2.679638160881259723e-01,2.159946764550809917e+00,1.505580409469160044e-05,1.469065770665759944e-05
3.612308849565929919e+07,3.345680400654429953e-03,6.373312397911809479e-02,2.677001102355829887e-01,2.151679945678850014e+00,1.601908649088569872e-05,1.565393881781570104e-05
3.613820951361440122e+07,3.395041654682249936e-03,6.375075663890150679e-02,2.678173692501940040e-01,2.150617314912690148e+00,1.597296298865459997e-05,1.560782204668520012e-05
3.615308694708359987e+07,3.157910027799110120e-03,6.374202604022609353e-02,2.679638160881460118e-01,2.161330729765260195e+00,1.505580409469180034e-05,1.469065770665779934e-05
3.616808849565929919e+07,3.345680400653049981e-03,6.373312397911640170e-02,2.677001102355390239e-01,2.153063874976270053e+00,1.601908649088389962e-05,1.565393881781389855e-05
3.618320951361440122e+07,3.395041654682789869e-03,6.375075663890239497e-02,2.678173692502319736e-01,2.152001208007729982e+00,1.597296298865470162e-05,1.560782204668529838e-05
3.619808694708359987e+07,3.157910027797550170e-03,6.374202604022680130e-02,2.679638160881490094e-01,2.162714587242279940e+00,1.505580409468949980e-05,1.469065770665550049e-05
3.621308849565929919e+07,3.345680400653820198e-03,6.373312397911480576e-02,2.677001102355019979e-01,2.154447696538909884e+00,1.601908649088469922e-05,1.565393881781479979e-05
3.622820951361440122e+07,3.395041654683050077e-03,6.375075663890350519e-02,2.678173692502670011e-01,2.153384993370900169e+00,1.597296298865499977e-05,1.560782204668559992e-05
3.624308694708359987e+07,3.157910027796850209e-03,6.374202604022649599e-02,2.679638160881219755e-01,2.164098336990190052e+00,1.505580409468959975e-05,1.469065770665560044e-05
3.625808849565929919e+07,3.345680400653729993e-03,6.373312397911419513e-02,2.677001102355059947e-01,2.155831410375229851e+00,1.601908649088329992e-05,1.565393881781340050e-05
3.627320951361440122e+07,3.395041654683099951e-03,6.375075663890469868e-02,2.678173692502959780e-01,2.154768671010589998e+00,1.597296298865519967e-05,1.560782204668570157e-05
3.628808694708359987e+07,3.157910027797119958e-03,6.374202604022530250e-02,2.679638160880750131e-01,2.165481979017359837e+00,1.505580409469160044e-05,1.469065770665769939e-05
3.630308849565929919e+07,3.345680400655070066e-03,6.373312397911430616e-02,2.677001102355249795e-01,2.157215016493549964e+00,1.601908649088449932e-05,1.565393881781459989e-05
3.631820951361440122e+07,3.395041654683050077e-03,6.375075663890590605e-02,2.678173692503170167e-01,2.156152240935179876e+00,1.597296298865519967e-05,1.560782204668570157e-05
3.633308694708359987e+07,3.157910027795569983e-03,6.374202604022380370e-02,2.679638160880359887e-01,2.166865513332259852e+00,1.505580409468880015e-05,1.469065770665480084e-05
3.634808849565929919e+07,3.345680400655689796e-03,6.373312397911509719e-02,2.677001102355620055e-01,2.158598514902339893e+00,1.601908649088460096e-05,1.565393881781459989e-05
3.636320951361440122e+07,3.395041654681340074e-03,6.375075663890669708e-02,2.678173692503270087e-01,2.157535703153119933e+00,1.597296298865149983e-05,1.560782204668199834e-05
